tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
-318868.1388888889,63,0,12,4,3,836.1336,"0.002252, 12.903900, 14.249700",False
-318652.94444444444,237,0,12,4,3,3198.9666,"0.002252, 12.903900, 14.249700",False
-317043.69444444444,75,0,12,4,3,994.7097,"0.002252, 12.903900, 14.249700",False
-316796.97222222225,1784,0,12,4,3,30202.1486,"0.002252, 12.903900, 14.249700",False
-312807.22222222225,129,0,12,4,3,1716.3283,"0.002252, 12.903900, 14.249700",False
-303317.69444444444,40,0,12,4,3,534.0089,"0.002252, 12.903900, 14.249700",False
-300655.19444444444,855,0,12,4,3,12693.3525,"0.002252, 12.903900, 14.249700",False
-292937.02777777775,50,0,12,4,3,665.0747,"0.002252, 12.903900, 14.249700",False
-291993.97222222225,961,0,12,4,3,14494.6669,"0.002252, 12.903900, 14.249700",False
-287692.8888888889,292,0,12,4,3,3974.203,"0.002252, 12.903900, 14.249700",False
-286804.77777777775,50,0,12,4,3,665.0747,"0.002252, 12.903900, 14.249700",False
-286586.0,160,0,12,4,3,2136.5249,"0.002252, 12.903900, 14.249700",False
-285556.4166666666,126,0,12,4,3,1675.8939,"0.002252, 12.903900, 14.249700",False
-283305.47222222225,1853,0,12,4,3,31657.6639,"0.002252, 12.903900, 14.249700",False
-281951.22222222225,329,0,12,4,3,4503.3915,"0.002252, 12.903900, 14.249700",False
-281371.6111111111,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-281170.1111111111,44,0,12,4,3,586.3812,"0.002252, 12.903900, 14.249700",False
-280578.8611111111,53,0,12,4,3,704.4823,"0.002252, 12.903900, 14.249700",False
-277979.3611111111,48,0,12,4,3,638.8255,"0.002252, 12.903900, 14.249700",False
-277159.1111111111,1934,0,12,4,3,33393.674,"0.002252, 12.903900, 14.249700",False
-273867.55555555556,278,0,12,4,3,3775.5775,"0.002252, 12.903900, 14.249700",False
-272442.6666666666,301,0,12,4,3,4102.3571,"0.002252, 12.903900, 14.249700",False
-269131.69444444444,43,0,12,4,3,573.2813,"0.002252, 12.903900, 14.249700",False
-266833.5,1796,0,12,4,3,30453.7413,"0.002252, 12.903900, 14.249700",False
-266645.6111111111,204,0,12,4,3,2740.3645,"0.002252, 12.903900, 14.249700",False
-265265.1666666666,1797,0,12,4,3,30474.7367,"0.002252, 12.903900, 14.249700",False
-262355.1666666666,43,0,12,4,3,573.2813,"0.002252, 12.903900, 14.249700",False
-262285.22222222225,1715,0,12,4,3,28768.0769,"0.002252, 12.903900, 14.249700",False
-260216.63888888888,130,0,12,4,3,1729.8155,"0.002252, 12.903900, 14.249700",False
-258672.02777777778,54,0,12,4,3,717.6271,"0.002252, 12.903900, 14.249700",False
-258592.66666666666,37,0,12,4,3,494.777,"0.002252, 12.903900, 14.249700",False
-257267.77777777778,36,0,12,4,3,481.7087,"0.002252, 12.903900, 14.249700",False
-255252.36111111112,212,0,12,4,3,2851.0904,"0.002252, 12.903900, 14.249700",False
-254922.19444444444,1740,0,12,4,3,29285.1909,"0.002252, 12.903900, 14.249700",False
-254773.69444444444,31,0,12,4,3,416.4348,"0.002252, 12.903900, 14.249700",False
-253633.11111111112,39,0,12,4,3,520.9271,"0.002252, 12.903900, 14.249700",False
-252992.77777777778,1634,0,12,4,3,27111.9632,"0.002252, 12.903900, 14.249700",False
-252976.22222222222,243,0,12,4,3,3282.8757,"0.002252, 12.903900, 14.249700",True
-252844.86111111112,236,0,12,4,3,3184.9975,"0.002252, 12.903900, 14.249700",False
-251917.61111111112,1782,0,12,4,3,30160.2795,"0.002252, 12.903900, 14.249700",False
-248716.58333333334,80,0,12,4,3,1060.9745,"0.002252, 12.903900, 14.249700",False
-244818.77777777778,863,0,12,4,3,12827.5352,"0.002252, 12.903900, 14.249700",False
-244744.52777777778,180,0,12,4,3,2409.9165,"0.002252, 12.903900, 14.249700",False
-242225.25,67,0,12,4,3,888.9202,"0.002252, 12.903900, 14.249700",False
-238300.63888888888,1781,0,12,4,3,30139.3518,"0.002252, 12.903900, 14.249700",False
