tus,dau,det,typ,erg
-17441,2,1,0,1583
-17402,1,2,0,96
-17200,3,1,0,97
-17043,3,0,0,1616
-17043,3,1,0,43
-16683,3,1,0,103
-16683,3,2,0,31
-16323,1,2,0,993
-16127,0,2,0,31
-16127,2,0,0,626
-16127,3,2,0,32
-15902,2,2,0,23
-15798,2,2,0,21
-15776,1,1,0,248
-15746,3,1,0,31
-15649,0,2,0,69
-15588,3,2,0,91
-15587,0,2,0,63
-15587,1,0,0,71
-15587,2,2,0,19
-15587,1,2,0,92
-15587,3,0,0,236
-15423,0,0,0,49
-15232,0,0,0,1736
-15192,2,1,0,19
-15127,2,0,0,42
-15127,3,2,0,487
-14668,3,0,0,80
-14668,3,2,0,37
-14562,1,1,0,47
