       Ti        Tf      G1      G2      G3
    6.688     6.704   15.09    9.04    9.03
    6.704     6.720   13.05    6.01    2.00
    6.720     6.736   16.08   11.03    1.00
    6.736     6.752   20.09    5.01    1.00
    6.752     6.768   20.12   10.04    5.01
    6.768     6.784   16.07    8.02    2.00
    6.784     6.800   26.15    5.01    2.00
    6.800     6.816   17.07    3.01    4.01
    6.816     6.832   19.09    7.01    0.00
    6.832     6.848   16.08    8.02    3.00
    6.848     6.864   16.08    8.02    3.00
    6.864     6.880   18.10    8.03    6.01
    6.880     6.896   15.07    9.02    2.00
    6.896     6.912   24.11    2.00    0.00
    6.912     6.928   19.09    5.01    3.00
    6.928     6.944   20.10    6.01    3.00
    6.944     6.960   23.14   10.03    2.00
    6.960     6.976   23.12    4.01    3.00
    6.976     6.992   20.12   12.04    2.00
    6.992     7.008    9.03    6.02    4.01
    7.008     7.024   18.09    8.02    1.00
    7.024     7.040   12.05    6.02    6.01
    7.040     7.056   21.13   10.03    3.00
    7.056     7.072   21.11    5.01    5.01
    7.072     7.088   20.10    4.01    4.01
    7.088     7.104   13.05    9.02    2.00
    7.104     7.120   13.05    5.01    2.00
    7.120     7.136   11.03    5.01    1.00
    7.136     7.152   27.19   11.04    2.00
    7.152     7.168   20.09    6.01    1.00
    7.168     7.184   17.07    5.01    1.00
    7.184     7.200   15.05    3.00    1.00
    7.200     7.216   14.05    5.01    3.00
    7.216     7.232   28.18    6.01    3.00
    7.232     7.248   15.07    7.02    3.00
    7.248     7.264   21.13   12.04    2.00
    7.264     7.280   14.05    5.01    2.00
    7.280     7.296   21.11    5.01    4.01
    7.296     7.312   11.04    6.01    2.00
    7.312     7.328   17.06    4.00    0.00
    7.328     7.344   20.12   10.03    3.00
    7.344     7.360    8.03    8.02    4.01
    7.360     7.376   16.08   11.04    3.00
    7.376     7.392   11.04    6.01    3.00
    7.392     7.408   11.04    4.01    4.01
    7.408     7.424   11.04    9.02    1.00
    7.424     7.440   11.04    8.02    3.00
    7.440     7.456   26.18    8.03    6.01
    7.456     7.472   14.07   11.04    2.00
    7.472     7.488   15.05    3.00    1.00
    7.488     7.504   15.06    4.01    4.01
    7.504     7.520   20.10    6.01    2.00
    7.520     7.536   21.10    5.01    2.00
    7.536     7.552   16.08   12.04    1.00
    7.552     7.568   11.03    2.00    5.01
    7.568     7.584   19.09    7.01    1.00
    7.584     7.600   10.03    7.01    1.00
    7.600     7.616   16.07    8.02    2.00
    7.616     7.632   17.09    7.02    5.01
    7.632     7.648   18.08    4.01    4.01
    7.648     7.664   23.14    7.02    4.01
    7.664     7.680   12.05    8.02    4.01
    7.680     7.696   12.04    7.01    1.00
    7.696     7.712   20.11   10.03    1.00
    7.712     7.728   16.06    3.00    2.00
    7.728     7.744   18.07    4.01    1.00
    7.744     7.760   18.07    2.00    2.00
    7.760     7.776   26.15    3.00    3.00
    7.776     7.792   14.05    5.01    2.00
    7.792     7.808   12.04    7.01    0.00
    7.808     7.824   15.05    5.01    0.00
    7.824     7.840   20.11   11.03    1.00
    7.840     7.856   22.11    4.01    2.00
    7.856     7.872   14.07    9.03    4.01
    7.872     7.888   14.05    4.01    3.00
    7.888     7.904   13.05    6.01    2.00
    7.904     7.920   15.07    6.02    4.01
    7.920     7.936   23.12    6.01    1.00
    7.936     7.952   11.05    7.02    6.01
    7.952     7.968   19.10    8.02    2.00
    7.968     7.984   14.04    2.00    1.00
    7.984     8.000   18.09    9.02    0.00
    8.000     8.016   10.04    8.02    2.00
    8.016     8.032   14.08   12.05    5.01
    8.032     8.048   17.09    7.02    5.01
    8.048     8.064   10.03    5.01    4.01
    8.064     8.080   23.12    5.01    2.00
    8.080     8.096   31.22    8.02    2.00
    8.096     8.112   32.27   11.04    4.01
    8.112     8.128   12.05    5.01    6.01
    8.128     8.144   17.07    4.01    3.00
    8.144     8.160   23.14    7.02    4.01
    8.160     8.176   15.06    4.01    3.00
    8.176     8.192   11.04    9.02    2.00
    8.192     8.208   19.10   10.03    2.00
    8.208     8.224   12.04    8.02    1.00
    8.224     8.240   14.04    0.00    1.00
    8.240     8.256   28.16    3.00    1.00
    8.256     8.272   16.08    7.02    6.01
    8.272     8.288   20.09    4.01    3.00
    8.288     8.304   18.09    6.01    3.00
    8.304     8.320   19.08    5.01    1.00
    8.320     8.336   18.10   10.03    3.00
    8.336     8.352   18.07    5.01    0.00
    8.352     8.368   21.10    4.01    3.00
    8.368     8.384   15.06    5.01    2.00
    8.384     8.400   15.06    5.01    1.00
    8.400     8.416   14.06    9.02    1.00
    8.416     8.432   20.11    6.02    4.01
    8.432     8.448   11.04    6.02    5.01
    8.448     8.464   24.16    8.03    5.01
    8.464     8.480   11.03    4.01    2.00
    8.480     8.496   11.04    6.02    4.01
    8.496     8.512   25.14    5.01    1.00
    8.512     8.528   12.04    5.01    4.01
    8.528     8.544   14.06    7.02    4.01
    8.544     8.560   18.08    6.01    2.00
    8.560     8.576   17.08    9.02    2.00
    8.576     8.592   15.08   12.04    2.00
    8.592     8.608   24.13    4.01    3.00
    8.608     8.624   20.08    1.00    1.00
    8.624     8.640   21.11    6.01    3.00
    8.640     8.656   12.06   10.04    6.01
    8.656     8.672   23.14    6.02    6.01
    8.672     8.688   25.15    5.01    4.01
    8.688     8.704   14.05    5.01    3.00
    8.704     8.720   20.09    5.01    2.00
    8.720     8.736   18.09    9.03    3.00
    8.736     8.752   21.11    4.01    4.01
    8.752     8.768   24.14    7.02    2.00
    8.768     8.784   18.07    4.00    0.00
    8.784     8.800   23.14    8.02    3.00
    8.800     8.816   20.10    7.02    2.00
    8.816     8.832    6.01    3.00    3.00
    8.832     8.848   21.13   12.04    1.00
    8.848     8.864   17.09    8.02    4.01
    8.864     8.880   18.09    5.01    6.01
    8.880     8.896   14.05    3.01    4.01
    8.896     8.912   17.07    5.01    3.00
    8.912     8.928   27.17    7.01    1.00
    8.928     8.944   25.15    5.01    5.01
    8.944     8.960   21.11    6.02    4.01
    8.960     8.976   18.09    5.01    4.01
    8.976     8.992   19.11   10.03    3.00
    8.992     9.008   17.07    5.01    2.00
    9.008     9.024   17.07    3.01    4.01
    9.024     9.040   23.12    4.01    2.00
    9.040     9.056   20.10    5.01    4.01
    9.056     9.072   19.10    5.01    5.01
    9.072     9.088   22.10    4.01    1.00
    9.088     9.104   25.15    7.02    2.00
    9.104     9.120   13.04    3.00    3.00
    9.120     9.136   18.09    9.02    1.00
    9.136     9.152   19.11    8.03    5.01
    9.152     9.168   21.10    2.00    3.00
    9.168     9.184   15.07    7.02    3.00
    9.184     9.200   19.11    8.03    5.01
    9.200     9.216   22.11    4.01    3.00
    9.216     9.232   18.09    7.02    3.00
    9.232     9.248   19.08    3.00    2.00
    9.248     9.264   15.06    4.01    4.01
    9.264     9.280   17.07    6.01    2.00
    9.280     9.296   13.05    6.01    3.00
    9.296     9.312   13.05    7.01    1.00
    9.312     9.328   14.05    3.00    2.00
    9.328     9.344   10.04    5.01    6.01
    9.344     9.360   22.11    1.00    6.01
    9.360     9.376    8.02    7.02    2.00
    9.376     9.392   14.06    7.02    2.00
    9.392     9.408   14.06    9.03    3.00
    9.408     9.424    8.03    9.03    3.00
    9.424     9.440   17.07    4.01    3.00
    9.440     9.456   18.07    4.01    1.00
    9.456     9.472   13.07   12.05    4.01
    9.472     9.488   16.07    7.02    3.00
    9.488     9.504   21.10    2.00    5.01
    9.504     9.520   17.07    4.01    2.00
    9.520     9.536   15.08   10.04    4.01
    9.536     9.552   15.08    8.03    6.01
    9.552     9.568   16.07    6.01    2.00
    9.568     9.584   32.24    7.02    3.00
    9.584     9.600   15.05    4.00    0.00
    9.600     9.616   18.09    9.02    2.00
    9.616     9.632   22.12    4.01    5.01
    9.632     9.648   21.10    4.01    3.00
    9.648     9.664   21.10    6.01    1.00
    9.664     9.680   14.06    7.02    4.01
    9.680     9.696   20.09    5.01    1.00
    9.696     9.712   16.08    8.02    3.00
    9.712     9.728   17.08    6.02    4.01
    9.728     9.744   12.04    6.01    0.00
    9.744     9.760   14.07    7.02    6.01
    9.760     9.776   19.10   12.04    0.00
    9.776     9.792   21.11    5.01    5.01
    9.792     9.808   11.04    6.01    3.00
    9.808     9.824   21.10    3.01    4.01
    9.824     9.840   20.09    6.01    1.00
    9.840     9.856   21.09    3.00    1.00
    9.856     9.872   27.17    6.01    2.00
    9.872     9.888   16.08    9.02    2.00
    9.888     9.904   23.13    7.02    2.00
    9.904     9.920   20.09    5.01    2.00
    9.920     9.936   10.03    7.02    2.00
    9.936     9.952   20.11    8.02    2.00
    9.952     9.968   19.08    2.00    3.00
    9.968     9.984   17.08    7.02    3.00
    9.984    10.000   13.05    3.01    5.01
   10.000    10.016   16.06    7.01    0.00
   10.016    10.032   14.05    5.01    2.00
