       Ti        Tf      G1      G2      G3
    8.704     8.720   38.03   37.89    4.01
    8.720     8.736   54.31   25.20    7.02
    8.736     8.752   35.92   24.19    7.02
    8.752     8.768   44.17   37.91    6.01
    8.768     8.784   33.92   30.29    8.02
    8.784     8.800   52.30   28.25    8.02
    8.800     8.816   42.06   29.26    6.01
    8.816     8.832   33.89   23.19    9.03
    8.832     8.848   38.02   33.84    7.02
    8.848     8.864   39.97   21.15    7.02
    8.864     8.880   31.39   35.86    5.01
    8.880     8.896   46.20   33.85    8.02
    8.896     8.912   40.06   31.32   10.03
    8.912     8.928   32.35   27.20    3.00
    8.928     8.944   40.06   33.84    7.02
    8.944     8.960   40.00   29.23    3.00
    8.960     8.976   26.26   26.20    5.01
    8.976     8.992   41.97   19.11    4.01
    8.992     9.008   44.14   30.30    9.03
    9.008     9.024   40.04   31.29    6.01
    9.024     9.040   26.31   33.84    7.02
    9.040     9.056   46.14   27.23    7.02
    9.056     9.072   42.06   29.26    6.01
    9.072     9.088   40.00   22.18   10.03
    9.088     9.104   44.13   35.85    3.00
    9.104     9.120   44.14   35.85    4.01
    9.120     9.136   50.30   33.85    8.02
    9.136     9.152   50.33   37.92    7.02
    9.152     9.168   42.10   33.84    7.02
    9.168     9.184   38.01   32.32    7.02
    9.184     9.200   37.97   29.24    4.01
    9.200     9.216   48.17   25.20    7.02
    9.216     9.232   44.14   30.30    9.03
    9.232     9.248   38.01   33.83    6.01
    9.248     9.264   44.18   35.90    9.03
    9.264     9.280   42.16   35.93   12.05
    9.280     9.296   48.17   24.19    8.02
    9.296     9.312   42.07   28.25    8.02
    9.312     9.328   37.96   29.23    3.00
    9.328     9.344   33.90   29.25    5.01
    9.344     9.360   38.02   33.84    7.02
    9.360     9.376   33.84   18.11    6.01
    9.376     9.392   50.25   27.25    9.03
    9.392     9.408   38.01   31.31    8.02
    9.408     9.424   40.04   26.25   12.05
    9.424     9.440   35.98   33.84    7.02
    9.440     9.456   37.97   30.25    3.00
    9.456     9.472   35.93   27.22    6.01
    9.472     9.488   44.05   23.16    5.01
    9.488     9.504   44.05   22.16    6.01
    9.504     9.520   50.22   27.22    5.01
    9.520     9.536   44.08   24.19    8.02
    9.536     9.552   39.91   16.08    3.00
    9.552     9.568   46.05   19.11    4.01
    9.568     9.584   37.98   28.25    7.02
    9.584     9.600   42.04   27.22    5.01
    9.600     9.616   40.00   23.19    9.03
    9.616     9.632   44.04   24.16    3.00
    9.632     9.648   40.08   33.87   10.03
    9.648     9.664   40.05   32.32    7.02
    9.664     9.680   40.02   27.24    8.02
    9.680     9.696   37.96   27.22    5.01
    9.696     9.712   42.06   29.25    5.01
    9.712     9.728   44.00   13.07    8.02
    9.728     9.744   46.13   28.23    4.01
    9.744     9.760   33.89   25.20    7.02
    9.760     9.776   31.29   18.10    4.01
    9.776     9.792   50.24   26.23    9.03
    9.792     9.808   44.00   17.09    5.01
    9.808     9.824   37.96   29.23    3.00
    9.824     9.840   32.34   19.13    9.03
    9.840     9.856   29.28   20.13    5.01
    9.856     9.872   33.86   19.13    9.03
    9.872     9.888   42.07   28.25    8.02
    9.888     9.904   44.09   25.21    8.02
    9.904     9.920   37.95   24.19    7.02
    9.920     9.936   33.83   18.10    5.01
    9.936     9.952   33.86   21.15    7.02
    9.952     9.968   32.35   24.18    5.01
    9.968     9.984   26.26   22.17    9.03
    9.984    10.000   23.19   17.10    7.02
   10.000    10.016   37.85   14.06    2.00
   10.016    10.032   41.98   17.10    7.02
