######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000412    2021-Jan-03 19:52:31.510237      39113 
000413    2021-Jan-03 19:52:38.592412      39158 
000414    2021-Jan-03 19:52:41.345622      39177 
000415    2021-Jan-03 19:52:46.930016      39209 
000416    2021-Jan-03 19:52:53.677668      39254 
000417    2021-Jan-03 19:52:55.178102      39267 
000418    2021-Jan-03 19:53:00.427845      39299 
000419    2021-Jan-03 19:53:08.427782      39350 
000420    2021-Jan-03 19:53:18.759648      39414 
000421    2021-Jan-03 21:25:12.828743      74309 
000422    2021-Jan-03 21:25:13.828762      74315 
000423    2021-Jan-03 21:25:15.996805      74328 
000424    2021-Jan-03 21:25:18.662267      74346 
000425    2021-Jan-03 21:25:26.328144      74397 
000426    2021-Jan-03 21:25:27.911865      74403 
000427    2021-Jan-03 21:25:29.995726      74415 
000428    2021-Jan-03 21:25:33.827651      74441 
000429    2021-Jan-03 21:25:34.827654      74447 
000430    2021-Jan-03 21:25:41.826570      74491 
000431    2021-Jan-03 21:25:42.910779      74497 
000432    2021-Jan-03 21:25:46.410392      74522 
000433    2021-Jan-03 21:25:47.493622      74529 
000434    2021-Jan-03 21:25:48.909720      74535 
000435    2021-Jan-03 21:25:55.325986      74579 
000436    2021-Jan-03 21:25:56.659026      74585 
000437    2021-Jan-03 21:25:57.659027      74591 
000438    2021-Jan-03 21:25:59.492572      74604 
000439    2021-Jan-03 21:26:06.076271      74648 
000440    2021-Jan-03 21:26:07.076458      74654 
000441    2021-Jan-03 21:26:08.076343      74660 
000442    2021-Jan-03 21:26:09.076301      74667 
000443    2021-Jan-03 21:26:15.491375      74704 
000444    2021-Jan-03 21:26:16.574621      74711 
000445    2021-Jan-03 21:28:14.907791      75451 
000446    2021-Jan-03 23:01:03.204428      96692 
000447    2021-Jan-03 23:01:54.620858      96499 
000448    2021-Jan-03 23:10:53.973739      94454 
000449    2021-Jan-03 23:10:54.973756      94451 
000450    2021-Jan-03 23:11:01.972771      94424 
000451    2021-Jan-03 23:11:08.389218      94397 
000452    2021-Jan-03 23:11:23.304937      94341 
000453    2021-Jan-03 23:11:24.638003      94337 
000454    2021-Jan-03 23:11:27.887765      94325 
000455    2021-Jan-03 23:11:29.554746      94318 
000456    2021-Jan-03 23:11:33.221805      94303 
000457    2021-Jan-03 23:11:34.221808      94299 
000458    2021-Jan-03 23:11:39.640074      94280 
000459    2021-Jan-03 23:11:47.473595      94250 
000460    2021-Jan-03 23:11:49.473613      94242 
000461    2021-Jan-03 23:11:52.223872      94231 
