######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000372    2021-Jan-05 17:05:13.410553      -7180 
000373    2021-Jan-05 17:05:34.334149      -7053 
000374    2021-Jan-05 18:15:46.835890      19863 
000375    2021-Jan-05 18:18:37.111888      20951 
000376    2021-Jan-05 18:23:14.653572      22731 
000377    2021-Jan-05 18:31:49.554777      26024 
000378    2021-Jan-05 18:34:24.236461      27008 
000379    2021-Jan-05 18:38:57.952032      28757 
000380    2021-Jan-05 18:46:43.009454      31723 
000381    2021-Jan-05 19:58:55.032109      59154 
000382    2021-Jan-05 20:04:40.861588      61341 
000383    2021-Jan-05 20:07:27.016031      62386 
000384    2021-Jan-05 20:13:20.137689      64607 
000385    2021-Jan-05 20:15:37.404242      65469 
000386    2021-Jan-05 20:18:35.353393      66589 
000387    2021-Jan-05 21:23:43.795646      91323 
000388    2021-Jan-05 21:31:01.584883      94114 
000389    2021-Jan-05 21:38:24.818239      96931 
000390    2021-Jan-05 21:40:32.052792      97738 
000391    2021-Jan-05 21:43:49.300893      98987 
000392    2021-Jan-05 21:49:00.705185      99950 
000393    2021-Jan-05 21:52:30.336967      99148 
000394    2021-Jan-05 22:59:08.904743      83945 
000395    2021-Jan-05 23:16:28.454623      80047 
000396    2021-Jan-05 23:23:19.012192      78502 
000397    2021-Jan-06 00:35:02.443601      62313 
000398    2021-Jan-06 00:43:58.961364      60289 
000399    2021-Jan-06 00:45:58.709552      59837 
000400    2021-Jan-06 00:47:23.272488      59519 
000401    2021-Jan-06 00:48:47.239299      59203 
000402    2021-Jan-06 00:49:15.184415      59097 
000403    2021-Jan-06 02:08:46.312214      41303 
000404    2021-Jan-06 02:16:40.659270      39522 
000405    2021-Jan-06 02:17:53.074097      39247 
000406    2021-Jan-06 02:20:19.297326      38696 
000407    2021-Jan-06 02:20:55.917994      38556 
000408    2021-Jan-06 03:40:49.289737      20483 
000409    2021-Jan-06 03:45:27.216635      19425 
000410    2021-Jan-06 03:46:01.138075      19295 
000411    2021-Jan-06 03:54:08.509427      17432 
000412    2021-Jan-06 04:01:35.815534      15712 
000413    2021-Jan-06 05:07:12.479058        862 
000414    2021-Jan-06 05:18:24.419870      -1665 
000415    2021-Jan-06 05:25:54.454199      -3359 
000416    2021-Jan-06 05:29:13.833984      -4108 
000417    2021-Jan-06 06:51:26.290059     -22651 
000418    2021-Jan-06 06:54:26.765115     -23318 
000419    2021-Jan-06 06:55:18.491997     -23511 
000420    2021-Jan-06 07:02:17.547700     -25061 
000421    2021-Jan-06 07:09:20.388462     -26625 
000422    2021-Jan-06 07:10:14.341456     -26825 
000423    2021-Jan-06 08:29:16.563250     -44307 
000424    2021-Jan-06 09:50:46.425683     -62210 
000425    2021-Jan-06 09:56:57.175489     -63580 
000426    2021-Jan-06 10:07:06.371735     -65837 
000427    2021-Jan-06 10:08:02.418891     -66045 
000428    2021-Jan-06 11:45:12.978175     -87440 
000429    2021-Jan-06 11:46:11.571000     -87656 
000430    2021-Jan-06 13:08:39.798032     -89899 
000431    2021-Jan-06 13:12:02.136833     -88580 
000432    2021-Jan-06 13:14:36.517988     -87580 
000433    2021-Jan-06 13:17:06.302257     -86605 
000434    2021-Jan-06 13:20:02.512565     -85461 
000435    2021-Jan-06 13:22:30.374982     -84499 
000436    2021-Jan-06 14:32:46.463238     -57072 
000437    2021-Jan-06 14:36:00.281891     -55821 
000438    2021-Jan-06 14:49:18.381889     -50693 
000439    2021-Jan-06 14:54:13.777391     -48804 
000440    2021-Jan-06 14:55:15.861027     -48407 
000441    2021-Jan-06 16:01:50.039550     -22786 
000442    2021-Jan-06 16:07:45.427287     -20489 
000443    2021-Jan-06 16:20:13.998927     -15666 
000444    2021-Jan-06 16:20:49.058035     -15441 
000445    2021-Jan-06 16:21:14.869466     -15273 
000446    2021-Jan-06 16:21:34.002417     -15151 
000447    2021-Jan-06 17:37:53.760437      14067 
000448    2021-Jan-06 17:38:24.637789      14264 
000449    2021-Jan-06 17:38:33.448380      14321 
000450    2021-Jan-06 17:39:15.988650      14587 
000451    2021-Jan-06 17:39:28.441573      14670 
000452    2021-Jan-06 17:42:54.644946      15975 
000453    2021-Jan-06 17:52:28.218654      19613 
000454    2021-Jan-06 19:20:12.158161      53136 
000455    2021-Jan-06 19:27:49.531816      56047 
000456    2021-Jan-06 19:30:12.124463      56947 
000457    2021-Jan-06 20:37:31.084412      82659 
000458    2021-Jan-06 20:54:19.788857      89115 
000459    2021-Jan-06 20:59:47.698137      91214 
000460    2021-Jan-06 22:15:58.539827      90243 
000461    2021-Jan-06 22:20:14.883862      89281 
000462    2021-Jan-06 22:28:25.053409      87438 
000463    2021-Jan-06 22:33:50.106296      86213 
000464    2021-Jan-06 22:35:46.275007      85777 
000465    2021-Jan-06 22:37:34.309233      85369 
000466    2021-Jan-06 22:40:01.698221      84812 
000467    2021-Jan-06 23:51:53.620691      68689 
000468    2021-Jan-06 23:59:26.316609      67008 
000469    2021-Jan-07 00:05:10.513759      65718 
000470    2021-Jan-07 00:07:00.248692      65310 
000471    2021-Jan-07 00:10:26.485118      64533 
000472    2021-Jan-07 01:23:03.125503      48208 
000473    2021-Jan-07 01:25:42.691898      47604 
000474    2021-Jan-07 01:30:53.522398      46434 
000475    2021-Jan-07 01:39:50.648985      44402 
000476    2021-Jan-07 01:46:10.714765      42958 
000477    2021-Jan-07 03:04:01.249438      25360 
000478    2021-Jan-07 03:05:41.027624      24984 
000479    2021-Jan-07 03:11:44.957702      23617 
000480    2021-Jan-07 03:12:23.865787      23470 
000481    2021-Jan-07 03:15:11.753846      22839 
000482    2021-Jan-07 04:30:28.268901       5987 
000483    2021-Jan-07 04:35:51.975939       4783 
000484    2021-Jan-07 04:45:25.068414       2644 
000485    2021-Jan-07 05:58:23.259896     -13924 
000486    2021-Jan-07 06:06:46.570826     -15835 
000487    2021-Jan-07 06:20:06.028502     -18876 
000488    2021-Jan-07 07:30:15.071655     -34869 
000489    2021-Jan-07 07:30:42.749954     -34976 
000490    2021-Jan-07 07:36:43.069636     -36349 
000491    2021-Jan-07 07:38:05.923527     -36665 
000492    2021-Jan-07 07:38:10.308505     -36681 
000493    2021-Jan-07 07:40:34.043501     -37231 
000494    2021-Jan-07 07:44:44.938234     -38193 
000495    2021-Jan-07 10:33:52.196835     -76906 
000496    2021-Jan-07 10:37:17.540035     -77682 
000497    2021-Jan-07 10:43:30.447950     -79094 
000498    2021-Jan-07 10:53:25.552273     -81360 
000499    2021-Jan-07 10:56:36.228222     -82095 
000500    2021-Jan-07 12:10:07.118732     -98975 
000501    2021-Jan-07 12:12:45.101014     -99583 
000502    2021-Jan-07 12:13:32.275631     -99765 
000503    2021-Jan-07 12:14:02.318045     -99880 
000504    2021-Jan-07 12:24:18.778968     -97414 
000505    2021-Jan-07 12:26:28.746233     -96594 
000506    2021-Jan-07 12:27:15.460047     -96304 
000507    2021-Jan-07 12:30:41.466380     -94999 
000508    2021-Jan-07 12:31:17.571379     -94771 
000509    2021-Jan-07 13:53:27.500243     -63233 
000510    2021-Jan-07 13:54:11.067146     -62952 
000511    2021-Jan-07 13:57:45.180337     -61586 
000512    2021-Jan-07 14:06:55.706686     -58082 
000513    2021-Jan-07 15:14:32.274293     -32422 
000514    2021-Jan-07 15:17:05.290608     -31456 
000515    2021-Jan-07 15:36:03.774878     -24281 
000516    2021-Jan-07 16:58:09.068829       6717 
000517    2021-Jan-07 17:01:00.486542       7790 
000518    2021-Jan-07 17:06:57.956321      10037 
000519    2021-Jan-07 17:10:23.905123      11330 
000520    2021-Jan-07 17:15:41.878313      13329 
000521    2021-Jan-07 18:21:21.246235      38481 
000522    2021-Jan-07 18:22:02.591954      38745 
000523    2021-Jan-07 18:24:45.371915      39797 
000524    2021-Jan-07 18:25:50.242683      40216 
000525    2021-Jan-07 18:26:02.006310      40293 
000526    2021-Jan-07 18:44:27.452393      47423 
000527    2021-Jan-07 18:47:00.375796      48410 
000528    2021-Jan-07 18:47:30.571842      48603 
000529    2021-Jan-07 20:05:10.862349      78535 
000530    2021-Jan-07 20:14:40.776392      82177 
000531    2021-Jan-07 20:16:15.383200      82784 
000532    2021-Jan-07 21:34:08.825261      92837 
000533    2021-Jan-07 21:42:35.861445      90946 
000534    2021-Jan-07 21:42:56.565352      90868 
000535    2021-Jan-07 21:46:25.441292      90085 
000536    2021-Jan-07 21:46:43.927169      90018 
000537    2021-Jan-07 23:01:44.486935      73204 
000538    2021-Jan-07 23:18:20.486169      69531 
000539    2021-Jan-07 23:26:46.819024      67659 
000540    2021-Jan-08 00:43:44.625114      50611 
000541    2021-Jan-08 00:51:17.147071      48931 
000542    2021-Jan-08 00:53:28.600919      48444 
000543    2021-Jan-08 00:55:28.999496      48003 
