Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
19,9,-1,1036.142604
27,14,4,1038.142604
16,8,-2,1040.142604
28,8,-2,1042.142604
23,9,-1,1044.142604
16,11,1,1046.142604
23,10,0,1048.142604
14,5,-5,1050.142604
39,11,1,1052.142604
20,9,-1,1054.142604
12,6,-4,1056.142604
26,11,1,1058.142604
19,8,-2,1060.142604
32,18,8,1062.142604
29,8,-2,1064.142604
19,7,-3,1066.142604
29,13,3,1068.142604
29,6,-4,1070.142604
16,6,-4,1072.142604
12,6,-4,1074.142604
26,15,5,1076.142604
22,11,1,1078.142604
16,7,-3,1080.142604
22,13,3,1082.142604
6,3,-7,1084.142604
11,4,-6,1086.142604
43,12,2,1088.142604
13,12,2,1090.142604
23,7,-3,1092.142604
24,9,-1,1094.142604
19,6,-4,1096.142604
22,9,-1,1098.142604
11,7,-3,1100.142604
19,7,-3,1102.142604
24,7,-3,1104.142604
22,12,2,1106.142604
15,4,-6,1108.142604
16,13,3,1110.142604
19,10,0,1112.142604
23,9,-1,1114.142604
22,8,-2,1116.142604
17,7,-3,1118.142604
19,11,1,1120.142604
16,8,-2,1122.142604
24,7,-3,1124.142604
32,17,7,1126.142604
26,12,2,1128.142604
27,10,0,1130.142604
34,8,-2,1132.142604
17,9,-1,1134.142604
31,15,5,1136.142604
15,8,-2,1138.142604
37,12,2,1140.142604
16,6,-4,1142.142604
30,17,7,1144.142604
17,7,-3,1146.142604
27,11,1,1148.142604
27,12,2,1150.142604
33,11,1,1152.142604
35,8,-2,1154.142604
33,11,1,1156.142604
23,6,-4,1158.142604
18,6,-4,1160.142604
25,12,2,1162.142604
30,14,4,1164.142604
25,10,0,1166.142604
24,11,1,1168.142604
25,13,3,1170.142604
25,13,3,1172.142604
14,11,1,1174.142604
4,5,-5,1176.142604
32,6,-4,1178.142604
37,17,7,1180.142604
24,6,-4,1182.142604
26,12,2,1184.142604
21,9,-1,1186.142604
31,17,7,1188.142604
31,11,1,1190.142604
22,8,-2,1192.142604
18,11,1,1194.142604
13,1,-9,1196.142604
21,11,1,1198.142604
36,11,1,1200.142604
29,10,0,1202.142604
25,9,-1,1204.142604
12,11,1,1206.142604
27,9,-1,1208.142604
26,12,2,1210.142604
20,6,-4,1212.142604
31,10,0,1214.142604
25,8,-2,1216.142604
27,12,2,1218.142604
26,16,6,1220.142604
19,7,-3,1222.142604
27,12,2,1224.142604
18,6,-4,1226.142604
20,6,-4,1228.142604
17,10,0,1230.142604
14,5,-5,1232.142604
22,8,-2,1234.142604
31,11,1,1236.142604
38,15,5,1238.142604
25,9,-1,1240.142604
29,9,-1,1242.142604
26,19,9,1244.142604
22,8,-2,1246.142604
26,13,3,1248.142604
27,13,3,1250.142604
17,6,-4,1252.142604
8,5,-5,1254.142604
20,6,-4,1256.142604
16,7,-3,1258.142604
29,8,-2,1260.142604
21,12,2,1262.142604
27,9,-1,1264.142604
34,6,-4,1266.142604
35,16,6,1268.142604
20,8,-2,1270.142604
13,7,-3,1272.142604
24,11,1,1274.142604
18,7,-3,1276.142604
18,12,2,1278.142604
21,7,-3,1280.142604
15,6,-4,1282.142604
16,6,-4,1284.142604
25,11,1,1286.142604
8,6,-4,1288.142604
31,13,3,1290.142604
22,11,1,1292.142604
20,8,-2,1294.142604
15,9,-1,1296.142604
21,9,-1,1298.142604
18,9,-1,1300.142604
28,8,-2,1302.142604
13,7,-3,1304.142604
16,8,-2,1306.142604
23,13,3,1308.142604
21,12,2,1310.142604
24,9,-1,1312.142604
21,10,0,1314.142604
29,13,3,1316.142604
16,5,-5,1318.142604
