tus;erg;typ;adr;dau;det;kev;cal_abc
-788203.1666666666;90;0;1;1;1;868.1297;0.005286, 8.364000, 72.553100
-785853.1944444445;957;0;1;1;1;12918.0789;0.005286, 8.364000, 72.553100
-785756.5555555555;23;0;1;1;1;267.7214;0.005286, 8.364000, 72.553100
-785484.1111111111;224;0;1;1;1;2211.3194;0.005286, 8.364000, 72.553100
-785309.8888888889;38;0;1;1;1;398.0181;0.005286, 8.364000, 72.553100
-785118.1666666666;1656;0;1;1;1;28419.3252;0.005286, 8.364000, 72.553100
-785074.8333333334;1725;0;1;1;1;30229.6068;0.005286, 8.364000, 72.553100
-782425.0555555555;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-781747.1666666666;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-781708.5833333334;228;0;1;1;1;2254.3325;0.005286, 8.364000, 72.553100
-780228.1111111111;30;0;1;1;1;328.2305;0.005286, 8.364000, 72.553100
-779518.1944444445;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-778938.1666666666;30;0;1;1;1;328.2305;0.005286, 8.364000, 72.553100
-778310.2777777778;397;0;1;1;1;4226.1823;0.005286, 8.364000, 72.553100
-776227.5;1688;0;1;1;1;29252.6175;0.005286, 8.364000, 72.553100
-775610.1388888889;21;0;1;1;1;250.5282;0.005286, 8.364000, 72.553100
-775481.7222222222;90;0;1;1;1;868.1297;0.005286, 8.364000, 72.553100
-775415.8888888889;50;0;1;1;1;503.9681;0.005286, 8.364000, 72.553100
-775275.75;33;0;1;1;1;354.3216;0.005286, 8.364000, 72.553100
-770355.2222222222;31;0;1;1;1;336.9169;0.005286, 8.364000, 72.553100
-770147.0;96;0;1;1;1;924.2129;0.005286, 8.364000, 72.553100
-770014.5833333334;89;0;1;1;1;858.8195;0.005286, 8.364000, 72.553100
-768290.25;1755;0;1;1;1;31032.3853;0.005286, 8.364000, 72.553100
-762080.0833333334;93;0;1;1;1;896.1237;0.005286, 8.364000, 72.553100
