|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB171112868| 302.789|   1.974696e+02|  -1.400410e+00| -3.031000e+00|
|GRB200126466|   0.768|               |               |              |
|GRB201012233|  64.001|               |               |              |
|GRB120909070| 112.066|   1.996489e+02|  -8.435762e-01| -1.934435e+00|
|GRB100225115|  12.992|   3.996639e+02|  -7.426869e-01| -2.647318e+00|
|GRB100916779|  12.800|   2.456647e+02|  -5.801449e-01| -2.918194e+00|
|GRB141031304|  19.456|   2.878908e+02|  -1.089352e+00| -1.837628e+00|
|GRB200219317|   1.152|               |               |              |
|GRB140528837|  13.568|   2.622627e+02|  -7.260461e-01| -3.401268e+00|
|GRB220905478|  12.544|               |               |              |
|GRB101208498|   2.048|   5.462038e+01|  -8.194172e-01| -2.034977e+00|
|GRB180412425|  20.992|   5.174349e+02|  -7.787961e-01| -9.195071e+00|
|GRB130816074|  36.864|   3.587224e+01|  -5.446872e-01| -2.074727e+00|
|GRB170627931|  17.152|   2.873114e+02|  -8.584073e-01| -2.168123e+00|
|GRB140929677|  37.120|   6.389505e+01|  -4.393609e-01| -7.976048e+00|
|GRB140710901|  11.520|   3.033110e+01|  -7.119969e-01| -2.178015e+00|
|GRB150306993|  18.944|   2.043109e+02|  -7.274412e-01| -3.204987e+00|
|GRB120210650|   1.344|   4.479947e+03|  -1.876760e+00| -2.150000e+00|
|GRB110207959|   7.680|   8.710454e+03|  -1.412839e+00| -5.043937e+00|
|GRB111015427|  92.737|   2.342252e+02|  -1.120735e+00| -1.310625e+01|
|GRB161020767|  22.078|   1.084535e+02|  -6.950870e-01| -2.127351e+00|
|GRB160422499|  12.288|   2.278019e+02|  -1.052659e+00| -2.292271e+00|
|GRB090117640|  15.552|   2.036650e+01|  -1.277526e+00| -2.426575e+00|
|GRB130206817|  91.585|   1.482286e+02|  -1.057605e+00| -1.776010e+00|
|GRB150301818|  13.312|   1.830128e+02|  -1.049045e+00| -2.221711e+00|
|GRB180620660|  46.721|   1.756301e+02|  -1.205761e+00| -1.660401e+00|
|GRB090510325|   7.424|   5.622234e+02|   1.602152e-01| -1.804177e+00|
|GRB150821406| 103.426|   2.812231e+02|  -1.243978e+00| -2.130837e+00|
|GRB140330180|  34.049|   1.594055e+02|  -1.671333e-01| -2.231394e+00|
|GRB200702892|  23.040|               |               |              |
|GRB201120442|   3.136|               |               |              |
|GRB091031500|  33.921|   4.563367e+02|  -8.619636e-01| -2.095137e+00|
|GRB180804554|  43.517|               |               |              |
|GRB081008832| 126.722|   1.669659e+02|  -1.011235e+00| -2.090436e+00|
|GRB120220210|  21.248|   8.349719e+01|   2.859844e-02| -2.208660e+00|
|GRB141222298|   2.752|   3.501699e+01|  -1.054385e+00| -1.602737e+00|
|GRB161001045|   2.240|   3.726089e+02|  -9.395230e-01| -4.362775e+00|
|GRB130127299|  19.456|   7.358239e+01|  -1.373032e-01| -2.805608e+00|
|GRB110319815|  31.232|   4.317447e+02|  -1.182579e+00| -3.428522e+00|
|GRB110801335|   0.384|   3.726411e+01|   1.467776e+00| -1.792128e+00|
|GRB170416583|  61.952|   1.005328e+02|  -1.281528e+00| -2.384219e+00|
|GRB150702998|  45.825|   1.126147e+03|  -9.823045e-01| -2.224805e+00|
|GRB080916406|  46.337|   1.057332e+02|  -7.807099e-01| -1.774458e+00|
|GRB131028096|  14.336|   7.833326e+01|  -4.742343e-01| -1.588201e+01|
|GRB210123305|  13.056|               |               |              |
|GRB190409901|   1.600|               |               |              |
|GRB111009282|  20.736|   1.171017e+02|  -1.032915e+00| -2.286083e+00|
|GRB220725563|   0.256|               |               |              |
|GRB150824079|  13.568|   1.776338e+02|  -7.631179e-01| -2.424506e+00|
|GRB210723615|  42.753|               |               |              |
|GRB211207416| 120.322|               |               |              |
|GRB090519462|  91.329|   9.571761e+01|  -5.316129e-01| -2.810626e+00|
|GRB080916009|  62.977|   6.676653e+02|  -1.070381e+00| -2.152307e+00|
|GRB100825287|   3.328|   3.718987e+01|  -1.160037e+00| -3.869243e+00|
|GRB120316008|  26.624|   6.524463e+02|  -8.018386e-01| -2.457283e+00|
|GRB181227262|  13.184|               |               |              |
|GRB161228388|  72.704|   1.080324e+02|  -1.052975e+00| -2.322017e+00|
|GRB210807525|   8.704|               |               |              |
|GRB191111364|  88.066|               |               |              |
|GRB111220486|  39.041|   3.467472e+02|  -1.093976e+00| -2.660913e+00|
|GRB190726843| 224.260|               |               |              |
|GRB140928437|  17.920|   6.925423e+02|   8.202183e-02| -2.661007e+00|
|GRB190129515|   8.704|               |               |              |
|GRB160827586|  51.200|   1.699458e+02|  -1.105560e+00| -8.550000e+00|
|GRB160829334|   0.512|   5.508626e+02|  -1.374222e-01| -2.979193e+00|
|GRB110205588| 158.720|   2.692654e+02|  -9.613928e-01| -5.954210e+00|
|GRB140506880|  64.128|   1.966831e+02|  -1.179510e+00| -1.681641e+01|
|GRB190720964|  10.496|               |               |              |
|GRB200323782|   2.112|               |               |              |
|GRB150425617|   4.352|   1.703711e+02|   1.320585e+00| -1.770017e+00|
|GRB220513865|   1.856|               |               |              |
|GRB121112806|   1.280|   9.626489e+02|   3.179120e-01| -6.807738e+00|
|GRB201021852|  35.328|               |               |              |
|GRB160516237|   2.432|               |               |              |
|GRB101224578|  44.737|   5.303191e+01|  -1.258700e+00| -2.867180e+00|
|GRB200405394|  14.848|               |               |              |
|GRB201213746|  46.336|               |               |              |
|GRB120510900|  62.465|   1.220128e+02|  -7.410033e-01| -2.292364e+00|
|GRB130228212|  15.677|   1.338944e+02|  -1.021576e+00| -2.086819e+00|
|GRB080928628|  14.336|   4.945244e+01|  -1.458193e+00| -1.801257e+00|
|GRB081129161|  62.657|   2.563956e+02|  -1.033661e+00| -2.293826e+00|
|GRB120331055|  16.384|   9.908859e+00|  -1.532410e+00| -1.954508e+00|
|GRB210204777|  32.000|               |               |              |
|GRB090720710|  10.752|   1.274949e+03|  -1.043348e+00| -2.437634e+00|
|GRB200308941|  43.008|               |               |              |
|GRB161020024|  12.288|   1.932837e+02|  -1.565402e+00| -1.458750e+01|
|GRB210315716|   5.632|               |               |              |
|GRB220606044|   0.896|               |               |              |
|GRB190830264|   5.376|               |               |              |
|GRB100715477|  14.848|   1.423914e+02|  -1.236166e+00| -2.008229e+00|
|GRB221108472|  15.104|               |               |              |
|GRB210502295|   4.992|               |               |              |
|GRB081109293|  58.369|   2.861046e+01|  -1.899425e-01| -1.648899e+00|
|GRB210805002|   0.832|               |               |              |
|GRB120728934|  32.768|   3.961515e+01|  -8.922070e-01| -1.918477e+00|
|GRB160513553|   1.664|               |               |              |
|GRB180720933|  23.296|               |               |              |
|GRB171010875|  25.344|   4.600897e+01|  -8.637429e-01| -1.914119e+00|
|GRB100201588| 141.059|   1.139542e+02|  -1.285600e+00| -2.335593e+00|
|GRB211116487|  14.848|               |               |              |
|GRB220612013|  15.872|               |               |              |
|GRB220903511|   7.424|               |               |              |
|GRB210108424|   7.168|               |               |              |
|GRB090308734|   1.664|   6.146926e+02|  -5.407038e-01| -4.419328e+00|
|GRB130515056|   0.256|   4.528559e+02|  -2.606168e-01| -2.635354e+00|
|GRB211031175|   0.128|               |               |              |
|GRB200923748|   0.640|               |               |              |
|GRB190830023|  12.288|               |               |              |
|GRB171029020|  19.712|   1.180952e+02|  -5.292044e-01| -4.031895e+00|
|GRB120117291|   3.328|               |               |              |
|GRB110227009|   1.728|   2.522477e+02|   2.755687e-02| -2.956841e+00|
