tus,erg,typ,adr,dau,det,keV,cal_abc
167578.66666666666,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
168289.44444444444,248,0,11,4,2,4130.839996,"0.001654, 16.4206, -43.19642"
168675.55555555556,280,0,11,4,2,4684.24518,"0.001654, 16.4206, -43.19642"
172726.33333333334,1641,0,11,4,2,31357.033354,"0.001654, 16.4206, -43.19642"
173695.97222222222,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
175947.11111111112,51,0,11,4,2,798.556234,"0.001654, 16.4206, -43.19642"
180206.38888888888,50,0,11,4,2,781.96858,"0.001654, 16.4206, -43.19642"
184351.22222222222,1736,0,11,4,2,33447.618364,"0.001654, 16.4206, -43.19642"
187720.11111111112,538,0,11,4,2,9269.826756,"0.001654, 16.4206, -43.19642"
190039.0,411,0,11,4,2,6985.065514,"0.001654, 16.4206, -43.19642"
192397.72222222222,1760,0,11,4,2,33980.48998,"0.001654, 16.4206, -43.19642"
193775.30555555556,170,0,11,4,2,2796.1061799999998,"0.001654, 16.4206, -43.19642"
196962.11111111112,66,0,11,4,2,1047.768004,"0.001654, 16.4206, -43.19642"
197790.86111111112,259,0,11,4,2,4320.690954,"0.001654, 16.4206, -43.19642"
197881.36111111112,1545,0,11,4,2,29274.769930000002,"0.001654, 16.4206, -43.19642"
202763.61111111112,797,0,11,4,2,14094.657465999999,"0.001654, 16.4206, -43.19642"
202813.63888888888,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
203614.13888888888,61,0,11,4,2,964.614714,"0.001654, 16.4206, -43.19642"
206641.41666666666,133,0,11,4,2,2170.000986,"0.001654, 16.4206, -43.19642"
207117.86111111112,74,0,11,4,2,1180.9852839999999,"0.001654, 16.4206, -43.19642"
211072.33333333334,1539,0,11,4,2,29145.640714,"0.001654, 16.4206, -43.19642"
213712.83333333334,224,0,11,4,2,3718.009084,"0.001654, 16.4206, -43.19642"
215365.11111111112,135,0,11,4,2,2203.72873,"0.001654, 16.4206, -43.19642"
215470.58333333334,38,0,11,4,2,583.174756,"0.001654, 16.4206, -43.19642"
217819.88888888888,1545,0,11,4,2,29274.769930000002,"0.001654, 16.4206, -43.19642"
223115.63888888888,104,0,11,4,2,1682.4356440000001,"0.001654, 16.4206, -43.19642"
223882.80555555556,155,0,11,4,2,2541.73393,"0.001654, 16.4206, -43.19642"
224045.77777777778,38,0,11,4,2,583.174756,"0.001654, 16.4206, -43.19642"
225275.5,716,0,11,4,2,12561.886204,"0.001654, 16.4206, -43.19642"
225842.63888888888,91,0,11,4,2,1464.774954,"0.001654, 16.4206, -43.19642"
226015.22222222222,1817,0,11,4,2,35253.696586,"0.001654, 16.4206, -43.19642"
226129.75,50,0,11,4,2,781.96858,"0.001654, 16.4206, -43.19642"
227045.5,1641,0,11,4,2,31357.033354,"0.001654, 16.4206, -43.19642"
227861.77777777778,209,0,11,4,2,3460.9573539999997,"0.001654, 16.4206, -43.19642"
228633.83333333334,1657,0,11,4,2,31707.041226,"0.001654, 16.4206, -43.19642"
229391.55555555556,1595,0,11,4,2,30355.47793,"0.001654, 16.4206, -43.19642"
230991.13888888888,1783,0,11,4,2,34492.946586,"0.001654, 16.4206, -43.19642"
232123.86111111112,47,0,11,4,2,732.225466,"0.001654, 16.4206, -43.19642"
236532.5,77,0,11,4,2,1230.996346,"0.001654, 16.4206, -43.19642"
237082.63888888888,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
238689.0,33,0,11,4,2,500.48458600000004,"0.001654, 16.4206, -43.19642"
238731.97222222222,465,0,11,4,2,7950.01873,"0.001654, 16.4206, -43.19642"
245185.61111111112,1575,0,11,4,2,29922.20233,"0.001654, 16.4206, -43.19642"
247838.5,48,0,11,4,2,748.8031960000001,"0.001654, 16.4206, -43.19642"
248315.52777777778,622,0,11,4,2,10810.322916,"0.001654, 16.4206, -43.19642"
250033.72222222222,72,0,11,4,2,1147.661116,"0.001654, 16.4206, -43.19642"
251249.86111111112,52,0,11,4,2,815.147196,"0.001654, 16.4206, -43.19642"
255464.38888888888,215,0,11,4,2,3563.68873,"0.001654, 16.4206, -43.19642"
256728.66666666666,444,0,11,4,2,7573.612924,"0.001654, 16.4206, -43.19642"
